Date,Flow_number,Sample_name,Singlets_median,Recomb_count,Recomb_geomean,Recomb_median,recombined_construct,Cells,Replicate,Fold_consensus,Include
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_G790_007.fcs,22027.89063,60.9437,29650.75781,31028.55664,G790,LPc4_HighG,R2,1,
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_G1102_008.fcs,3138.60498,55.462311,4828.62793,5057.992676,G1102,LPc4_HighG,R2,0.1630108914,
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_G1106_009.fcs,1483.410034,51.375161,2421.208252,2495.176758,G1106,LPc4_HighG,R2,0.08041549554,
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_1B_010.fcs,10701.72168,44.222533,20595.79492,21429.72852,1B,LPc4_HighG,R2,0.6906453551,
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_1M_011.fcs,359.897583,49.979811,562.973206,564.24054,1M,LPc4_HighG,R2,0.01818455646,
251010,F380,293T_LP_101025_highG_Tet-bxb-BFP-C4_2HL_012.fcs,837.214844,55.596624,1188.740234,1208.519287,2HL,LPc4_HighG,R2,0.03894861437,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_G790_001.fcs,304.167603,0.31515,6050.813477,9155.910156,G790,LPc4_LowG,R2,1,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_G1102_002.fcs,195.800217,0.147154,1164.545044,1126.416016,G1102,LPc4_LowG,R2,0.1230261107,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_G1106_003.fcs,207.517181,0.126387,730.689636,610.948303,G1106,LPc4_LowG,R2,0.06672720599,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_1B_004.fcs,235.966217,0.146857,2871.353271,3450.795166,1B,LPc4_LowG,R2,0.3768926417,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_1M_005.fcs,178.631882,0.130462,425.299316,389.68988,1M,LPc4_LowG,R2,0.04256156661,
251010,F380,293T_LP_101025_lowG_Tet-bxb-BFP-C4_2HL_006.fcs,199.427002,0.22406,533.306396,490.178772,2HL,LPc4_LowG,R2,0.05353687003,
251111,F382,293T_LP_111225_NS_NKrun_A549_G790_001.fcs,7146.532227,4358,27283.35156,28049.30664,G790,A549,R1,0.966364677,
251111,F382,293T_LP_111225_NS_NKrun_a549_1b_002.fcs,4461.806641,2009,21860.66602,23274.76563,1B,A549,R1,0.801870494,
251111,F382,293T_LP_111225_NS_NKrun_a549_24_g790_009.fcs,29187.18555,4703,29786.90625,30001.87695,G790,A549,R1,1.033635323,
251111,F382,293T_LP_111225_NS_NKrun_a549_24_1b_010.fcs,21693.54688,6501,23872.01367,23924.42578,1B,A549,R1,0.8242528162,
251111,F382,293T_LP_111225_NS_NKrun_a549_24_1102_002_012.fcs,10636.4502,3833,10643.04492,10701.72168,G1102,A549,R1,0.3686995172,
251111,F382,293T_LP_111225_NS_NKrun_a549_24_1102_011.fcs,9498.240234,2361,9481.314453,9498.240234,G1102,A549,R1,0.3272367468,
251111,F382,293T_LP_111225_NS_NKrun_a549_1102_003.fcs,2541.394775,5131,9046.302734,9183.959961,G1102,A549,R1,0.3164090512,
251113,F383,293T_LP_111325_NS_A549_G790_001.fcs,1293.901367,12199,24173.79297,25560.87695,G790,A549,R2,1,
251113,F383,293T_LP_111325_NS_A549_1B_002.fcs,791.348938,5223,19203.60547,20129.14258,1B,A549,R2,0.7874981214,
251113,F383,293T_LP_111325_NS_A549_1102_003.fcs,559.201111,11284,7620.072266,8437.654297,G1102,A549,R2,0.3301003449,
251113,F383,293T_LP_111325_NS_NIH3T3_G790_001.fcs,6681.868164,7814,10022.58594,10774.19922,G790,NIH3T3,R1,1,
251113,F383,293T_LP_111325_NS_NIH3T3_1B_002.fcs,12182.59375,8520,12419.95898,13455.41504,1B,NIH3T3,R1,1.24885523,
251113,F383,293T_LP_111325_NS_NIH3T3_1102_003.fcs,3863.315918,20831,6044.196777,6268.114746,G1102,NIH3T3,R1,0.5817708229,
251121,F384,293T_LP_112125_NS_A549_G790_001.fcs,23978.86328,60229,23320.86133,24112.45313,G790,A549,R3,1,
251121,F384,293T_LP_112125_NS_A549_1B_002.fcs,20410.66992,34210,20151.52148,20410.66992,1B,A549,R3,0.8464783658,
251121,F384,293T_LP_112125_NS_A549_1102_003.fcs,10277.23438,35761,10259.49414,10277.23438,G1102,A549,R3,0.4262210205,
251121,F384,293T_LP_112125_NS_NIH3T3_G790_004.fcs,7004.753418,6570,10933.61231,11232.62402,G790,NIH3T3,R2,1,
251121,F384,293T_LP_112125_NS_NIH3T3_1B_005.fcs,3355.031982,33830,4312.020996,4417.029297,1B,NIH3T3,R2,0.3932321859,
251121,F384,293T_LP_112125_NS_NIH3T3_1102_006.fcs,2936.224854,41589,4210.294922,4236.764648,G1102,NIH3T3,R2,0.3771838744,
251126,F385,293T_LP_112625_NS_A549_G790_001.fcs,1244.547852,9106,17786.07031,19632.14258,G790,A549,R4,1,
251126,F385,293T_LP_112625_NS_A549_1B_002.fcs,1104.425049,4551,13232.82324,15720.11133,1B,A549,R4,0.8007333517,
251126,F385,293T_LP_112625_NS_A549_1M_005.fcs,468.121216,660,970.138977,881.896851,1M,A549,R4,0.04492107,
251126,F385,293T_LP_112625_NS_A549_2HL_006.fcs,254.774857,3318,1403.203369,1454.018433,2HL,A549,R4,0.07406315572,
251126,F385,293T_LP_112625_NS_A549_1102_003.fcs,662.458313,10816,6201.998047,6700.241699,G1102,A549,R4,0.3412893764,
251126,F385,293T_LP_112625_NS_A549_1106_004.fcs,607.799011,2672,2782.9375,2969.033691,G1106,A549,R4,0.1512332991,
251126,F385,293T_LP_112625_NS_NIH3T3_G790_008.fcs,7613.511719,8737,7514.006348,8026.137207,G790,NIH3T3,R3,1,
251126,F385,293T_LP_112625_NS_NIH3T3_1B_009.fcs,9455.496094,19001,11504.20117,12073.89941,1B,NIH3T3,R3,1.504322577,
251126,F385,293T_LP_112625_NS_NIH3T3_1102_010.fcs,2205.616943,34132,3048.093262,3069.671631,G1102,NIH3T3,R3,0.3824594013,
251126,F385,293T_LP_112625_NS_NIH3T3_1106_011.fcs,5766.934082,10845,5677.584961,6096.393066,G1106,NIH3T3,R3,0.7595675116,
251211,F387,293T_LP_121125_NS_A549_Unrecombined_007.fcs,218.677673,2,3952.522705,2157.142822,None,A549,R5,0.07123815066,
251211,F387,293T_LP_121125_NS_A549_G790_001.fcs,5847.59082,16606,28981.48828,30280.72461,G790,A549,R5,1,
251211,F387,293T_LP_121125_NS_A549_1B_002.fcs,4030.131104,15985,22330.22266,22872.82617,1B,A549,R5,0.7553592744,
251211,F387,293T_LP_121125_NS_A549_1M_005.fcs,481.307129,1706,1074.833008,881.896851,1M,A549,R5,0.02912403393,
251211,F387,293T_LP_121125_NS_A549_2HL_006.fcs,955.879883,7627,2038.810425,2034.90686,2HL,A549,R5,0.06720139251,
251211,F387,293T_LP_121125_NS_A549_1102_003.fcs,2793.020752,18224,9695.826172,9885.227539,G1102,A549,R5,0.3264528067,
251211,F387,293T_LP_121125_NS_A549_1106_004.fcs,2370.80835,7557,3816.643799,3833.575195,G1106,A549,R5,0.126601171,
