"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
426105,277341,113,133352,84093,102,-24,79,0,18560,11609,57,16867,10714,55,33,36,0,2923,9331,16,0.167131
294493,222572,104,89895,64243,92,69,56,0,17408,14255,49,15968,13315,48,139,103,0,-137,40,0,0.168245
445085,213366,125,320713,169524,121,288,149,0,13094,7136,62,11442,5982,57,206,91,0,2021,5713,16,0.169359
167382,123929,97,74207,51088,97,39,68,0,96,346,0,183,334,0,56,60,0,-447,0,0,0.173816
444307,251412,119,199512,116873,112,96,68,0,11817,11218,40,9996,9644,40,168,160,0,-376,0,0,0.176045
270939,124053,116,218469,114502,114,42,94,0,293,491,0,176,414,0,42,78,0,-451,158,0,0.176045
298673,172884,111,221532,142605,107,31,82,0,7706,9262,36,6713,8224,31,70,127,0,-34,77,0,0.180501
469133,253580,110,280708,145177,118,164,88,0,32854,22881,109,28933,20140,90,271,279,0,262,139,0,0.181616
233005,161352,104,144430,99736,104,74,74,0,2761,3059,21,2232,2639,17,44,75,0,-30,51,0,0.18273
476604,244356,124,278978,168450,117,75,84,0,4280,3707,29,3539,3124,27,42,146,0,-78,75,0,0.18273
369964,229452,114,201045,121971,113,122,71,0,27756,28014,105,24876,25248,89,118,167,0,-18,51,0,0.18273
348412,238233,110,104222,75999,100,-12,51,0,3518,4680,22,3124,4261,20,34,125,0,-235,24,0,0.183844
312890,220625,107,147848,103066,104,118,78,0,10799,14792,84,9710,13753,54,137,121,0,83,97,0,0.184958
160724,122786,95,90178,71186,87,-119,11,0,433,1149,2,534,1059,2,-55,36,0,-154,21,0,0.186072
178564,142288,96,70804,51218,96,-44,19,0,373,1275,4,344,1018,1,2,93,0,-531,0,0,0.187187
145127,80588,102,115028,74554,98,33,67,0,174,191,0,-44,172,0,84,86,0,-61,48,0,0.188301
435587,275962,116,167966,101963,107,28,67,0,10661,9437,40,9023,8098,37,92,139,0,-330,7,0,0.188301
190496,135987,95,212794,130479,100,25,61,0,20462,27994,84,18624,25748,79,55,75,0,-444,0,0,0.188301
197450,147507,97,164362,130381,93,0,50,0,13277,19208,45,11565,17377,36,37,69,0,39,50,0,0.192758
459858,268687,120,180562,104883,110,48,59,0,17181,10313,59,15155,9445,57,77,89,0,526,2187,5,0.194986
324589,225309,108,402319,288894,108,548,312,0,809,651,0,907,782,0,86,96,0,-64,41,0,0.194986
473710,266624,121,266525,148525,116,-49,48,0,49695,30142,121,45275,27051,121,198,139,0,993,4584,8,0.1961
206077,178313,84,110246,97217,85,144,190,0,5540,8681,25,5134,7734,26,91,143,0,-927,0,0,0.197214
130560,89025,86,120668,86167,92,2,49,0,3105,4103,22,2565,3668,19,169,113,0,-73,245,0,0.200557
352749,232232,103,160005,113166,100,82,73,0,9266,7228,39,7833,6362,37,113,128,0,-709,461,0,0.201671
484326,278402,121,225464,134909,111,79,84,0,22059,14784,62,19360,12829,58,105,139,0,112,3452,8,0.201671
374487,236726,102,136339,89920,98,57,60,0,10327,8552,40,9514,7840,39,128,149,0,-914,0,0,0.206128
182287,118653,102,182966,118281,95,157,82,0,752,1380,11,615,1185,7,4,76,0,-510,0,0,0.206128
209752,159911,100,90485,67605,99,-47,29,0,10049,10144,37,8537,8494,36,137,190,0,-150,70,0,0.209471
489482,289757,118,208192,107566,111,16,65,0,21834,12953,68,20411,12292,69,-50,41,0,842,4563,10,0.211699
494761,275024,125,297851,167561,125,5,108,0,31767,19261,92,29117,18259,75,226,143,0,-197,1277,2,0.211699
420943,265966,116,200525,143803,108,56,70,0,8222,6164,47,7204,5871,37,157,123,0,36,470,0,0.213928
442609,209120,126,296218,152869,126,42,59,0,2894,1597,36,2627,1600,31,136,81,0,1323,3078,14,0.215042
386515,204205,118,259835,156569,114,81,69,0,34916,21123,108,31425,19438,98,230,253,0,4229,14578,18,0.21727
255190,205308,94,71808,53859,91,-40,50,0,13308,12686,42,11825,10996,40,57,85,0,-456,0,0,0.21727
185406,158312,85,55293,47483,82,16,32,0,6700,7361,30,6356,7125,29,77,71,0,-352,0,0,0.21727
293817,179993,109,212241,142641,104,-14,52,0,10480,7654,45,9503,6688,43,295,219,0,93,858,0,0.219499
316515,166955,123,236685,129989,123,99,68,0,17471,8982,70,16253,8502,62,19,103,0,2045,7598,14,0.219499
155067,114055,91,110966,85870,90,28,60,0,3587,4853,22,3263,4583,21,28,80,0,100,975,0,0.220613
399551,241540,116,289571,199100,116,212,110,0,56430,39571,116,52305,36842,116,70,80,0,1678,7015,13,0.221727
296492,168200,114,259515,151739,114,192,91,0,23065,10271,76,21214,9762,71,78,112,0,2306,7641,17,0.222841
331507,188849,109,168766,100390,106,93,142,0,19706,12756,67,18486,12489,64,56,83,0,16030,14148,43,0.228412
386950,220951,115,198566,128901,106,-45,41,0,6573,3538,51,5695,3252,48,158,148,0,1766,2732,19,0.229526
138843,106592,92,146308,115693,90,-2,33,0,37605,30423,92,33902,27280,92,28,53,0,-53,115,0,0.230641
