"FSC-A","RL1-A","YL2-A"
498785,24349,12508
518486,50647,49943
542948,40243,22807
478677,45940,19734
456964,12665,6580
462091,48688,19422
703884,15523,5035
413350,34394,15207
536401,29115,10074
551514,51303,18861
622602,62242,20828
646617,58368,21270
558552,750,3687
575495,82522,29768
307502,12742,141
584213,68533,34743
644979,61746,19567
469840,18799,11085
482767,32837,16765
381516,4070,3640
584210,51139,27317
567499,6527,2151
487180,25229,9768
558079,41248,26813
426729,3340,1329
447927,1653,379
538774,17172,9476
453674,28138,16124
624243,48929,20408
431393,28672,16072
698382,64661,21360
502490,20456,1806
511287,16178,4060
393649,8564,2964
644506,35799,20153
272273,19341,527
407930,175605,145299
553313,67602,15284
587347,44737,27226
643195,65995,29456
557140,35162,14872
561677,42641,14446
546809,2651,521
412993,17507,11305
666942,23525,9044
584970,26602,12404
643677,41725,36932
570599,32990,17529
643396,38948,20654
505760,32190,14631
481204,10982,7228
439250,19901,10429
621145,25269,15826
496607,52661,20222
523627,32349,14456
458977,31416,10124
539189,50819,33485
581524,1535,18380
635472,48520,25564
472955,19675,6978
437725,18983,9399
561464,30150,16492
545829,37511,20017
462697,14994,6681
529010,38239,29687
406787,23966,10335
333746,163227,1883
513132,40976,24791
557754,50890,26483
554324,36567,14884
509948,48053,22928
573877,92521,51731
390801,28676,12004
402388,18268,13275
407627,15289,5062
526565,20986,12161
632968,11004,5068
483931,38778,12329
523488,31266,9009
374828,8482,15871
549697,35981,1352
491220,78725,28830
475268,48077,24716
481195,20388,11044
613287,41377,23141
469154,53124,52022
571312,43044,29542
559709,21856,5273
561000,11772,5285
552170,32230,12919
518506,19804,6069
501434,642,5476
493997,45685,19344
525420,34634,11311
423412,16183,14033
548487,53464,25551
250023,4973,5113
511240,31932,15026
513057,20145,4744
472081,14978,8222
634128,9853,5538
524993,32093,11395
506833,17632,19800
569668,1817,9279
534763,50873,21796
483110,34247,21110
617578,41011,18074
520190,32259,20526
389178,19172,8246
723084,5464,2339
445539,27515,13026
526756,18767,6549
550186,67041,31725
522603,39665,45859
476793,48726,56478
480156,27995,9142
540301,57240,69530
405768,4895,795
526729,42340,22841
505641,37356,13210
584581,35082,13198
495976,11560,6513
500640,27526,12659
754418,952,12496
641858,69755,27106
632631,41383,40523
548350,111329,59560
